"","x","y","bp","dist"
"197",-52.2,-29.17,399,2257.34126521573
"198",-52.174,-31.698,397,2507.70610306164
"199",-56.269,-27.415,397,1916.86705553709
"200",-52.3986,-22.0969,389,1599.07557088922
"201",-52.1585,-29.2555,392,2267.5917645967
"202",-35.5528,-7.7417,350,2921.16922084214
"203",-51.9456,-29.6111,391,2312.08493677167
"204",-37.92,-12.43,391,2624.85003004621
"205",-53.55,-29.689,354,2250.05620630542
"206",-40.5667,-7.5333,327,2380.0364286052
"207",-52.98,-27.08,363,2017.68082691494
"208",-41.25,-13.7514,327,2272.42971511416
"209",-47.47,-5.52,316,1704.97587083765
"210",-48.47,-23.59,306,2000.08698420207
"211",-53.1869,-3.5514,304,1267.77051016207
"212",-50.605,-30.431,292,2455.32633472179
"213",-53.536,-29.532,251,2234.80642336754
"214",-53.033,-27.083,220,2015.38735699571
"215",-52.431,-21.703,197,1564.21361917966
"216",-43.6133,-21.7785,194,2293.1123852665
"217",-54.6029,-25.4451,198,1781.30432448353
"218",-53.733,-27.167,189,1990.69066305051
"219",-35.0169,-7.9837,223,2975.50207711153
"220",-52.681,-29.729,191,2290.47327431756
"221",-43.6047,-22.9977,203,2361.25159309043
"222",-55.1,-27.8,196,1997.71709835557
"223",-52.2481,-4.7173,191,1273.33506039818
"224",-63.84,-19.44,167,960.300754804357
"225",-51.565,-29.372,168,2307.11879510568
"226",-54.4842,-25.2854,164,1771.11108033634
"227",-52.2464,-4.7161,101,1273.56556195055
"228",-35.02,-8,183,2974.89869216472
"229",-52.3214,-23.5486,154,1728.24081470082
"230",-53.383,-29.824,140,2270.40081302758
"231",-53.33,-23.667,103,1678.02408343608
"232",-54.2646,-24.0764,95,1665.00902683276
