"","X","Longitude","Latitude","Xadj","Yadj","dist","bp","C14Age","C14SD","calCurves","resOffsets","resErrors","clusterID","optional"
"56",140,-41.25,-13.7625,-41.25,-13.7625,2272.54761131132,529,550,95,"shcal20",0,0,140,TRUE
"57",147,-52.8533,-22.6119,-52.8533,-22.6119,1612.99144402476,521,530,55,"shcal20",0,0,147,TRUE
"58",150,-49.3842,-25.4756,-49.3842,-25.4756,2082.89294045088,518,528,70,"shcal20",0,0,150,TRUE
"59",155,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,"shcal20",0,0,155,TRUE
"60",156,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,"shcal20",0,0,155,TRUE
"61",160,-38.09,-7.83,-38.09,-7.83,2643.35743078486,476,510,150,"shcal20",0,0,160,TRUE
"62",162,-51.0433,-26.2388,-51.0433,-26.2388,2043.97030906448,507,500,45,"shcal20",0,0,162,TRUE
"63",175,-43.55,-12.06,-43.55,-12.06,2011.50837369882,462,450,50,"shcal20",0,0,175,TRUE
"64",176,-52.892,-30.845,-52.892,-30.845,2392.94404700452,465,445,40,"shcal20",0,0,176,TRUE
"65",177,-58.6984,-34.306,-58.6984,-34.306,2607.19100299169,459,442,45,"shcal20",0,0,177,TRUE
"66",178,-50.5648,-24.0218,-50.5648,-24.0218,1883.24394863934,454,440,50,"shcal20",0,0,178,TRUE
"67",188,-47.3844,-23.4517,-47.3844,-23.4517,2074.15865045336,403,415,105,"shcal20",0,0,188,TRUE
"68",195,-49.0757,-20.6365,-49.0757,-20.6365,1745.3502215587,400,390,40,"shcal20",0,0,195,TRUE
"69",206,-40.5667,-7.5333,-40.5667,-7.5333,2380.0364286052,327,340,150,"shcal20",0,0,206,TRUE
"70",209,-47.47,-5.52,-47.47,-5.52,1704.97587083765,316,300,30,"shcal20",0,0,209,TRUE
"71",210,-48.47,-23.59,-48.47,-23.59,2000.08698420207,306,290,40,"shcal20",0,0,210,TRUE
"72",216,-43.6133,-21.7785,-43.6133,-21.7785,2293.1123852665,194,230,40,"shcal20",0,0,216,TRUE
"73",223,-52.2481,-4.7173,-52.2481,-4.7173,1273.33506039818,191,210,30,"shcal20",0,0,223,TRUE
"74",231,-53.33,-23.667,-53.33,-23.667,1678.02408343608,103,110,60,"shcal20",0,0,231,TRUE
