"","x","y","bp","dist"
"221",-50.217,-29.933,520,2428.04914579655
"222",-52.7738,-23.2796,526,1676.46007125431
"223",-53.38,-29.85,507,2273.13822994717
"224",-50.489,-5.8766,521,1381.83968431977
"225",-54.8278,-16.5167,521,986.176679739005
"226",-51.81,-27.53,519,2119.78221083011
"227",-52.8533,-22.6119,521,1612.99144402476
"228",-51.533,-29.981,519,2367.30124277965
"229",-52.195,-31.711,521,2508.13800530071
"230",-49.3842,-25.4756,518,2082.89294045088
"231",-58.4349,-33.0915,519,2477.65975944813
"232",-50.4992,-5.8237,516,1383.27398901244
"233",-50.5376,-5.808,516,1380.15592713546
"234",-46.04,-20.97,507,2030.05366082134
"235",-58.082,-28.319,516,1964.28051396111
"236",-48.9639,-28.6063,516,2377.17890882992
"237",-50.217,-29.933,472,2428.04914579655
"238",-57.8212,-9.8132,516,470.233882787876
"239",-57.8212,-9.8132,516,470.233882787876
"240",-48.2772,-13.9506,507,1523.37955761984
"241",-48.4419,-10.5107,509,1479.08424230581
"242",-50.5021,-5.8202,513,1383.14636344444
"243",-53.083,-27.117,506,2016.25082765619
"244",-52.222,-31.847,509,2520.624566856
"245",-51.878,-21.209,511,1564.04680103109
"246",-52.21,-3.24,506,1373.22725486362
"247",-58.082,-28.319,511,1964.28051396111
"248",-48.9918,-28.6129,513,2376.10781711975
"249",-42.3636,-22.7853,473,2459.64113470738
"250",-38.09,-7.83,476,2643.35743078486
"251",-34.99,-8.03,476,2977.68457646743
"252",-52,-16,504,1213.56813124127
"253",-53.73,-27.17,506,1991.12227368352
"254",-52.195,-31.711,513,2508.13800530071
"255",-54.72,-27.568,498,1988.75518659771
"256",-51.0433,-26.2388,507,2043.97030906448
"257",-58.082,-28.319,502,1964.28051396111
"258",-57.8212,-9.8132,509,470.233882787876
"259",-55.5016,-27.11,506,1911.93111459841
"260",-61.7638,-10.7979,495,27.4352519280286
"261",-50.4317,-25.7923,503,2041.81852746125
"262",-52.1195,-29.2885,505,2272.62081979281
"263",-45.7494,-23.4003,500,2203.01759926061
"264",-53.017,-27.1,488,2017.80711643521
"265",-54.2537,-24.0766,495,1665.59288781363
"266",-48.3189,-9.9597,500,1497.09811159616
"267",-61.9285,-10.8993,483,6.99285822159429
"268",-50.4992,-5.8237,497,1383.27398901244
"269",-51.974,-22.5142,483,1662.66247076166
"270",-50.538,-5.8084,492,1380.0970424241
"271",-58.082,-28.319,492,1964.28051396111
"272",-52.5,-23.5,478,1712.83461306138
