,Unnamed: 0,X,Longitude,Latitude,Xadj,Yadj,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,clusterID,optional,sim_dates,model
58,59,155,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0,155,True,4340,forest
59,60,156,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0,155,True,4340,forest
60,61,160,-38.09,-7.83,-38.09,-7.83,2643.35743078486,476,510,150,shcal20,0,0,160,True,0,forest
61,62,162,-51.0433,-26.2388,-51.0433,-26.2388,2043.97030906448,507,500,45,shcal20,0,0,162,True,1490,forest
62,63,175,-43.55,-12.06,-43.55,-12.06,2011.50837369882,462,450,50,shcal20,0,0,175,True,0,forest
63,64,176,-52.892,-30.845,-52.892,-30.845,2392.94404700452,465,445,40,shcal20,0,0,176,True,980,forest
64,65,177,-58.6984,-34.306,-58.6984,-34.306,2607.19100299169,459,442,45,shcal20,0,0,177,True,0,forest
65,66,178,-50.5648,-24.0218,-50.5648,-24.0218,1883.24394863934,454,440,50,shcal20,0,0,178,True,1610,forest
66,67,188,-47.3844,-23.4517,-47.3844,-23.4517,2074.15865045336,403,415,105,shcal20,0,0,188,True,1250,forest
67,68,195,-49.0757,-20.6365,-49.0757,-20.6365,1745.3502215587,400,390,40,shcal20,0,0,195,True,1460,forest
68,69,206,-40.5667,-7.5333,-40.5667,-7.5333,2380.0364286052,327,340,150,shcal20,0,0,206,True,0,forest
69,70,209,-47.47,-5.52,-47.47,-5.52,1704.97587083765,316,300,30,shcal20,0,0,209,True,0,forest
70,71,210,-48.47,-23.59,-48.47,-23.59,2000.08698420207,306,290,40,shcal20,0,0,210,True,1370,forest
71,72,216,-43.6133,-21.7785,-43.6133,-21.7785,2293.1123852665,194,230,40,shcal20,0,0,216,True,890,forest
72,73,223,-52.2481,-4.7173,-52.2481,-4.7173,1273.33506039818,191,210,30,shcal20,0,0,223,True,3410,forest
73,74,231,-53.33,-23.667,-53.33,-23.667,1678.02408343608,103,110,60,shcal20,0,0,231,True,980,forest
