Unnamed: 0,Longitude,Latitude,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,sim0,sim1
  115,-38.6405,-7.2534,2594.72235963729,  603,  640,   40,shcal20,    0,    0, 2020,    0
  116,-50.5353,-5.82,1379.82405880648,  603,  640,   40,shcal20,    0,    0, 3850, 4090
  117,-45.3701,-4.2532,1973.63302056153,  592,  630,   80,shcal20,    0,    0, 3040, 3580
  118,-50.5379,-5.8135,1379.86784351789,  601,  630,   40,shcal20,    0,    0, 3850, 4090
  119,-54.4815,-25.2799,1770.69873768642,  594,  625,   55,shcal20,    0,    0, 3280, 2110
  120,-53.083,-27.117,2016.25082765619,  586,  620,   80,shcal20,    0,    0, 2920, 1810
  121,-52.0,-16.0,1213.56813124127,  591,  620,   55,shcal20,    0,    0, 4210,    0
  122,-51.1632,-30.2653,2412.30697743599,  570,  610,   50,shcal20,    0,    0, 2380, 1390
  123,-55.3896,-21.7743,1387.03001315563,  570,  610,   50,shcal20,    0,    0, 3850, 1990
  124,-49.3712,-23.1531,1899.521290725,  570,  610,   50,shcal20,    0,    0, 3370, 1780
  125,-56.738,-27.514,1912.64519004933,  577,  610,   70,shcal20,    0,    0, 2920, 1870
  126,-50.538,-5.8084,1380.0970424241,  555,  600,   40,shcal20,    0,    0, 3850, 4090
  127,-54.4586,-25.2013,1764.08192215744,  562,  600,   60,shcal20,    0,    0, 3280, 2110
  128,-54.418,-24.9333,1739.8777778573,  553,  590,   55,shcal20,    0,    0, 3280, 2110
  129,-52.3214,-23.5469,1728.09222062307,  557,  590,   70,shcal20,    0,    0, 3430, 2020
  130,-52.508,-27.271,2059.40924304089,  557,  590,  100,shcal20,    0,    0, 2920, 1750
  131,-58.082,-28.319,1964.28051396111,  545,  580,   50,shcal20,    0,    0, 2770,    0
  132,-48.3189,-9.9597,1497.09811159616,  545,  580,   50,shcal20,    0,    0, 3580, 4000
  133,-42.125,-22.8333,2483.67038513216,  543,  570,  100,shcal20,    0,    0,    0,    0
  134,-40.2959,-20.2981,2538.6060781463,  538,  560,   70,shcal20,    0,    0, 2500,    0
  135,-54.8278,-16.5167,986.176679739005,  537,  560,   60,shcal20,    0,    0, 4510,    0
  136,-49.1972,-28.7917,2379.91358063622,  533,  560,   40,shcal20,    0,    0, 2560, 1270
  137,-52.1195,-29.2885,2272.62081979281,  533,  560,   40,shcal20,    0,    0, 2560, 1540
  138,-52.2895,-23.6009,1734.81225684288,  537,  560,   60,shcal20,    0,    0, 3430, 2020
  139,-40.371,-20.3048,2531.53693845153,  531,  555,   40,shcal20,    0,    0, 2500,    0
  140,-41.25,-13.7625,2272.54761131132,  529,  550,   95,shcal20,    0,    0, 2560,    0
  141,-48.9991,-28.6213,2376.41703205437,  531,  550,   60,shcal20,    0,    0, 2560, 1270
  142,-48.57,-27.67,2320.08593684219,  532,  550,   70,shcal20,    0,    0,    0,    0
  143,-50.217,-29.933,2428.04914579655,  520,  540,  100,shcal20,    0,    0,    0,    0
  144,-52.7738,-23.2796,1676.46007125431,  526,  540,   60,shcal20,    0,    0, 3520, 2110
  145,-53.38,-29.85,2273.13822994717,  507,  530,  120,shcal20,    0,    0, 2470, 1540
  146,-51.81,-27.53,2119.78221083011,  519,  530,   70,shcal20,    0,    0, 2830, 1690
  147,-52.8533,-22.6119,1612.99144402476,  521,  530,   55,shcal20,    0,    0, 3640, 2170
  148,-51.533,-29.981,2367.30124277965,  519,  530,   70,shcal20,    0,    0, 2410,    0
  149,-52.195,-31.711,2508.13800530071,  521,  530,   40,shcal20,    0,    0,    0,    0
  150,-49.3842,-25.4756,2082.89294045088,  518,  528,   70,shcal20,    0,    0, 3070, 1720
  151,-58.4349,-33.0915,2477.65975944813,  519,  526,   45,shcal20,    0,    0, 1960,    0
  152,-50.4992,-5.8237,1383.27398901244,  516,  520,   50,shcal20,    0,    0, 3850, 4090
  153,-50.5376,-5.808,1380.15592713546,  516,  520,   50,shcal20,    0,    0, 3850, 4090
  154,-48.9639,-28.6063,2377.17890882992,  516,  520,   50,shcal20,    0,    0, 2560, 1270
  155,-57.8212,-9.8132,470.233882787876,  516,  520,   30,shcal20,    0,    0, 5140, 5260
  156,-57.8212,-9.8132,470.233882787876,  516,  520,   30,shcal20,    0,    0, 5140, 5260
  157,-48.4419,-10.5107,1479.08424230581,  509,  510,   60,shcal20,    0,    0, 3640, 4000
  158,-51.878,-21.209,1564.04680103109,  511,  510,   50,shcal20,    0,    0, 3760,    0
  159,-48.9918,-28.6129,2376.10781711975,  513,  510,   40,shcal20,    0,    0, 2560, 1270
  160,-38.09,-7.83,2643.35743078486,  476,  510,  150,shcal20,    0,    0, 1960,    0
  161,-54.72,-27.568,1988.75518659771,  498,  500,   70,shcal20,    0,    0, 2860, 1000
  162,-51.0433,-26.2388,2043.97030906448,  507,  500,   45,shcal20,    0,    0,    0,    0
  163,-55.5016,-27.11,1911.93111459841,  506,  495,   20,shcal20,    0,    0, 2920, 1000
  164,-61.7638,-10.7979,27.4352519280286,  495,  490,   60,shcal20,    0,    0, 5800, 5800
  165,-50.4317,-25.7923,2041.81852746125,  503,  490,   40,shcal20,    0,    0, 3070, 1750
  166,-45.7494,-23.4003,2203.01759926061,  500,  490,   50,shcal20,    0,    0, 3070, 1420
  167,-53.017,-27.1,2017.80711643521,  488,  490,   70,shcal20,    0,    0, 2920, 1810
  168,-54.2537,-24.0766,1665.59288781363,  495,  490,   60,shcal20,    0,    0, 3430, 2170
  169,-51.974,-22.5142,1662.66247076166,  483,  480,   60,shcal20,    0,    0, 3610, 2050
  170,-52.5,-23.5,1712.83461306138,  478,  475,   60,shcal20,    0,    0, 3520, 2110
  171,-49.0358,-28.6852,2379.89759184993,  488,  470,   40,shcal20,    0,    0, 2560, 1270
  172,-52.591,-23.3162,1691.02442274055,  455,  470,  100,shcal20,    0,    0, 3520, 2110
  173,-53.27,-29.44,2236.55044051755,  473,  470,   60,shcal20,    0,    0, 2560, 1600
  174,-51.67,-27.56,2129.96098781929,  450,  450,   70,shcal20,    0,    0, 2830, 1690
  175,-43.55,-12.06,2011.50837369882,  462,  450,   50,shcal20,    0,    0, 2920,    0
  176,-52.892,-30.845,2392.94404700452,  465,  445,   40,shcal20,    0,    0, 2260, 1390
  177,-58.6984,-34.306,2607.19100299169,  459,  442,   45,shcal20,    0,    0, 1720,    0
  178,-50.5648,-24.0218,1883.24394863934,  454,  440,   50,shcal20,    0,    0, 3310, 1840
  179,-48.9379,-28.6201,2379.93724890455,  461,  440,   40,shcal20,    0,    0, 2560, 1270
  180,-42.2852,-22.8652,2470.96532620077,  453,  430,   40,shcal20,    0,    0, 2560,    0
  181,-57.149,-27.552,1904.85524413013,  445,  430,   50,shcal20,    0,    0, 2860,    0
  182,-50.885,-24.0998,1868.2465884322,  435,  430,   60,shcal20,    0,    0,    0,    0
  183,-58.5924,-34.2289,2600.12138973451,  439,  421,   45,shcal20,    0,    0, 1720,    0
  184,-56.729,-27.506,1912.06944805573,  429,  420,   50,shcal20,    0,    0, 2920, 1870
  185,-58.744,-34.346,2610.99997301126,  435,  416,   41,shcal20,    0,    0, 1720,    0
  186,-54.4591,-25.1973,1763.66699929947,  412,  415,   75,shcal20,    0,    0, 3280, 2110
  187,-54.8439,-16.495,983.348659942068,  421,  415,   50,shcal20,    0,    0, 4510,    0
  188,-47.3844,-23.4517,2074.15865045336,  403,  415,  105,shcal20,    0,    0, 3190, 1570
  189,-56.169,-27.356,1913.98281650486,  415,  410,   50,shcal20,    0,    0, 2920, 1870
  190,-54.656,-27.529,1987.36512166944,  412,  410,   60,shcal20,    0,    0, 2860, 1000
  191,-58.26,-34.127,2593.63143132935,  418,  405,   35,shcal20,    0,    0, 1720,    0
  192,-36.81,-6.16,2817.44305576229,  408,  405,   60,shcal20,    0,    0, 1720,    0
  193,-49.1166,-5.3842,1542.76285637335,  404,  400,   70,shcal20,    0,    0, 3640, 4000
  194,-54.668,-27.544,1988.40168866577,  400,  390,   60,shcal20,    0,    0, 2860, 1000
  195,-49.0757,-20.6365,1745.3502215587,  400,  390,   40,shcal20,    0,    0, 3610, 1690
  196,-51.7418,-29.1361,2275.88316975458,  399,  390,   30,shcal20,    0,    0, 2530, 1510
  197,-52.2,-29.17,2257.34126521573,  399,  390,   30,shcal20,    0,    0, 2560, 1540
  198,-52.174,-31.698,2507.70610306164,  397,  380,   50,shcal20,    0,    0,    0,    0
  199,-56.269,-27.415,1916.86705553709,  397,  380,   50,shcal20,    0,    0, 2920, 1870
  200,-52.3986,-22.0969,1599.07557088922,  389,  370,   20,shcal20,    0,    0, 3670, 2080
  201,-52.1585,-29.2555,2267.5917645967,  392,  370,   30,shcal20,    0,    0, 2560, 1540
  202,-35.5528,-7.7417,2921.16922084214,  350,  360,  135,shcal20,    0,    0, 1540,    0
  203,-51.9456,-29.6111,2312.08493677167,  391,  360,   30,shcal20,    0,    0, 2470, 1450
  204,-37.92,-12.43,2624.85003004621,  391,  360,   50,shcal20,    0,    0, 2050,    0
